source|url|title|publication_date|scraping_date|section|full_text|language
latejacr|https://www.lateja.cr/sucesos/joven-mama-murio-en-brutal-ataque-grabado-por/O6CPBKA67NHFTLUIQCUNADKI3M/story/|Joven mamá murió en brutal ataque grabado por cámaras en Liberia|2026-05-16 07:41:35|2026-05-16 13:26:09|Lo más leído|"El violento homicidio de una joven mamá de apellidos Murillo Quesada, de 28 años, quedó grabado en una cámara de seguridad y ahora los agentes del OIJ buscan ayuda de la ciudadanía para identificar a los sospechosos.

La víctima murió tras un ataque a balazos ocurrido en barrio Felipe Pérez, 100 metros al oeste del puente, cerca de una licorería clandestina, en Liberia, Guanacaste.

Ataque ocurrió dentro de un carro

El video fue divulgado por el OIJ recientemente, pero los hechos ocurrieron minutos antes de las 5 a.m. del lunes 28 de julio del 2025.

Las autoridades señalaron que Murillo se encontraba dentro de un vehículo que se estacionaba en vía pública junto a otras dos personas cuando fueron interceptados por dos sujetos que viajaban en motocicleta.

Sicarios esperaron a que muchacho saliera de casa y le provocaron una violenta muerte en Guácimo

Sicarios esperaron a que muchacho saliera de casa y le provocaron una violenta muerte en Guácimo

Según el informe preliminar, el acompañante de la moto se bajó y comenzó a disparar en reiteradas ocasiones contra los ocupantes del carro.

La joven mamá falleció en el sitio, mientras que otra mujer de apellidos Hernández Aguirre, de 26 años, y un padre de familia de apellidos Portillo Obando, de 29 años, resultaron heridos.

Chances viernes 15 de mayo: estos son los números ganadores del sorteo de la JPS

Chances viernes 15 de mayo: estos son los números ganadores del sorteo de la JPS

Sospechosos quedaron grabados

Los agentes de la Delegación Regional del OIJ de Liberia divulgaron las imágenes captadas por una cámara de seguridad con el fin de ubicar a los responsables.

Uno de los sospechosos vestía camisa manga larga de color claro, jeans y utilizaba casco para motociclista. El segundo sujeto, señalado como el pistolero, llevaba ropa similar y además portaba un bulto en la espalda.

Las autoridades pidieron a cualquier persona que reconozca a los hombres o tenga información sobre el caso comunicarse de forma confidencial al teléfono 800-8000-645 del Centro de Información Confidencial.

El caso permanece bajo investigación para determinar el móvil del ataque y dar con el paradero de los sospechosos."|es
latejacr|https://www.lateja.cr/sucesos/esto-pide-la-mama-del-joven-detenido-por-disparar/UMKOUCSYEVEYTJ4HHHFTWOPZT4/story/|Esto pide la mamá del joven detenido por disparar y matar a conductor tras choque en Cartago|2026-05-12 20:39:35|2026-05-16 13:26:09|Lo más leído|"En medio de la tragedia que dejó a una persona fallecida y a dos familias devastadas tras un choque en Cartago, la mamá del joven detenido por el caso hizo una única petición.

Se trata de un muchacho de apellidos Mora Cubero, de 23 años, quien figura como sospechoso de disparar contra Francisco Javier Granados López, de 33 años, luego de un choque que ocurrió en barrio Nazareth, 500 metros al oeste de Metrocentro en Cartago.

La madre del joven, una socióloga de apellido Cubero y de 53 años, conversó con La Teja y aseguró que, en este momento tan difícil, solo tiene una petición.

Confirman detención de presunto sicario sospechoso de atacar a balazos a policía en Batán

Confirman detención de presunto sicario sospechoso de atacar a balazos a policía en Batán

“Las oraciones son más que suficientes para mí”, expresó brevemente.

La mujer prefirió no revelar el lugar en el que se encuentran, aunque en apariencia familiares del muchacho permanecen en los Tribunales acompañándolo durante el proceso judicial.

Mientras tanto, Mora Cubero continúa a la espera de que las autoridades definan las medidas cautelares que enfrentará por este caso que ha causado conmoción en todo el país.

Joven mamá murió en brutal ataque grabado por cámaras en Liberia

Joven mamá murió en brutal ataque grabado por cámaras en Liberia

Mora Cubero es un muchacho emprendedor, dedicado a la reparación, mantenimiento y mejoras de computadoras, celulares, consolas e impresoras en Cartago.

Además es papá de una pequeña de un año y ocho meses.

La tragedia cobró la vida de Francisco Javier Granados López, de 33 años, vecino de Llanos de Santa Lucía, en Paraíso de Cartago, quien era el sostén económico de una familia integrada por nueve personas.

El Organismo de Investigación Judicial (OIJ) mantiene bajo análisis videos, testimonios y pruebas para determinar las circunstancias exactas del hecho y establecer si existió legítima defensa."|es
latejacr|https://www.lateja.cr/sucesos/presentimiento-de-madre-en-el-quinceanos-de-su/LN6IF2AJCRDTDAOKNMWCI2RUFY/story/|Presentimiento de madre en el quinceaños de su hijo terminó convirtiéndose en una tragedia que casi acaba con su familia|2026-05-16 07:51:12|2026-05-16 13:26:09|Lo más leído|"“Dios mío, ¿qué será lo que va a pasar?”. Esa fue la angustia con la que doña Elaynna Peraza despertó la mañana del 19 de diciembre de 2010, sin imaginar que horas después sobreviviría junto con su familia a un violento choque que tenía todos los elementos para ser fatal.

Casi 16 años han pasado desde aquella trágica fecha, pero ese recuerdo volvió recientemente a la memoria de esta vecina de Aguas Zarcas de San Carlos al leer en La Teja la noticia de un mortal accidente muy similar al que ella y su familia sobrevivieron.

“Yo cuando leí esa noticia me sentí muy impactada, al pensar en lo que esa familia está viviendo, porque fue algo muy parecido a lo que nos pasó, aunque en nuestro caso, gracias a Dios, ninguno murió, pero sí fue algo muy fuerte”, contó Peraza.

El accidente al que doña Elaynna se refiere ocurrió el pasado sábado 25 de abril, cuando una buseta y un tráiler chocaron de frente en La Garita de Alajuela, sobre la ruta 1, 200 metros hacia Alajuela del cruce de Manolos.

En ese violento accidente perdió la vida don Ronald Mesén Quirós, de 57 años, quien, al igual que Peraza y su familia, era vecino de San Carlos.

Lo que une las historias de doña Elaynna y don Ronald es que este último también tuvo un mal presentimiento antes de que ocurriera la tragedia, tal y como le sucedió a Peraza hace casi 16 años.

Joven mamá murió en brutal ataque grabado por cámaras en Liberia

Joven mamá murió en brutal ataque grabado por cámaras en Liberia

“Vieras que más bien él no quería ir, él estaba buscando choferes para no ir, pero de los tres que buscó, ninguno pudo ir, entonces me dijo: ‘Diay, mi amor, me toca ir a mí’. Yo creo que él tuvo un presentimiento”, contó a La Teja Yamileth Durán, esposa de Mesén.

Como lo mencionó Peraza, esa noticia la impactó mucho, pues la hizo recordar lo que ella, su esposo y sus dos hijos vivieron y cómo la mano de Dios los protegió del terrible accidente.

Iban al Festival de la Luz

El accidente al que sobrevivió esta familia vecina de San Carlos ocurrió el 19 de diciembre del 2010. Doña Elaynna recuerda muy bien esa fecha, pues ese mismo día su hijo mayor, Juan Gabriel, estaba cumpliendo 15 años.

Ese día se inició de forma muy diferente para Peraza, pues apenas abrió los ojos tuvo un extraño presentimiento, que de inmediato le robó la paz.

“Resulta que ese día yo me desperté como con una corazonada, con un sentimiento extraño, como de que algo malo iba a pasar, y yo decía: ‘Dios mío, Dios mío, ¿qué será lo que va a pasar?’. Entonces yo empecé a orar y hasta me puse el rosario y todo"", recordó.

Peraza asoció ese extraño presentimiento con el viaje que ella y sus dos hijos iban a realizar ese mismo día, pues Juan Gabriel y su hermano José Roberto, quien tenía nueve años, iban a tocar en Atenas con la banda de la escuela Antonio José de Sucre, de Ciudad Quesada.

“Íbamos para un toque de la banda de la escuela en el Festival de la Luz de Atenas, porque la banda de mis hijos era muy buena”, agregó.

Pese a que ese mal presentimiento la seguía acompañando, doña Elaynna no quiso cancelar el viaje, pues sus hijos tenían una gran ilusión por participar en ese festival. Sin embargo, tomaron una medida pensando en su propia seguridad.

“Nosotros nos íbamos a ir en el bus de la escuela, pero vino mi esposo y me dijo que mejor no nos fuéramos en ese bus, pues capaz iba a pasar algo. Entonces mejor él nos iba a llevar en carro. Llamé a la escuela, pues ya hasta teníamos los campos pagos y todo, porque yo iba a ir en el bus con mis hijos, pero al final regalamos los campos y nos fuimos en carro”.

“Sentía como cuando uno va a recibir una mala noticia, era algo que no puedo expresar”. — Elayna Peraza.

“Sentía como cuando uno va a recibir una mala noticia, era algo que no puedo expresar”.

Neblina preparó la tragedia

Pensando que el riesgo había disminuido ante la decisión de viajar juntos en un carro en lugar de en el bus de la banda, la familia emprendió su viaje hacia Atenas, pero lamentablemente, el destino les tenía algo preparado para que no llegaran al sitio al que se dirigían.

Según doña Elaynna, el viaje transcurrió con total normalidad, hasta que llegaron a una carretera camino a Zarcero, en la cual había una densa neblina que casi no dejaba ver la calle.

Peraza recordó que en ese mismo tramo habían ocurrido dos choques minutos antes de que ellos pasaran. Lo que nunca se imaginó es que ellos se convertirían en el tercer accidente en ese lugar.

“Había una vagoneta que estaba estacionada, pero no tenía luces intermitentes ni nada que nos avisara que estaba parqueada ahí y, como había tanta neblina, no vimos nada. Cuando me di cuenta, ya teníamos la vagoneta encima. Fue un impacto terrible”, recordó.

Peraza contó que, lamentablemente, minutos antes de que ocurriera ese terrible choque, ella cometió un grave error del que se arrepiente y que pudo costarle muy caro.

“Ese día yo andaba con una pierna operada, entonces a mí se me ocurrió subir las piernas sobre el dash del carro, y así las llevaba cuando chocamos contra la vagoneta. Yo no sé cómo no quedé en silla de ruedas, cómo no perdí las piernas ese día”, detalló.

A raíz del violento impacto contra la vagoneta, el hijo mayor de doña Elaynna sufrió un hematoma en la frente; su otro hijo presentaba golpes, mientras que su esposo, Rigoberto López, se quebró los dedos de la mano y varias costillas.

“Como ese día acababan de suceder otros dos accidentes antes del nuestro, había varias ambulancias; entonces ahí nos subieron a todos. Fue una escena terrible. Recuerdo que cuando me subieron a la ambulancia, yo preguntaba cómo estaban mis hijos”.

Afortunadamente, toda la familia salió con vida de ese terrible incidente; sin embargo, algunos de ellos quedaron con secuelas del choque.

“En las piernas tengo operaciones, por lo que es la circulación, porque para ese entonces quedé peor en todo. Yo camino y todo, pero tengo que evitar darme golpes o caídas, porque la sangre ya no circula igual, pero para la gloria de Dios, estoy bien.

“Mi hijo el mayor quedó con un fuerte golpe en la frente y él sí quedó con algunas secuelas en la columna por el golpe que se llevó ese día. A mi hijo menor más que todo se le hicieron contracturas y a mi esposo se le habían quebrado los dedos y las costillas”.

“Quince años estaba cumpliendo mi chiquito ese día, nunca lo voy a olvidar, porque él volvió a nacer ese día”— Elaynna Peraza.

“Quince años estaba cumpliendo mi chiquito ese día, nunca lo voy a olvidar, porque él volvió a nacer ese día”

Hija se salvó de milagro

En medio de esa difícil situación que vivió su familia, doña Elaynna contó que también ocurrió otro verdadero milagro con su hija, Joseth, de 13 años, quien también debía acompañarlos a ese viaje con destino a Atenas.

“Ese día mi hija me decía: ‘Mami, yo no quiero, yo no quiero’, y yo le dije que iba a quedar mal con la banda, pero me insistía que no quería y fue esa cosa que yo dije: ‘Dios mío, ¿será que va a pasar algo? Entonces, al final yo la dejé con la vecina, lo que nunca hacía"", recordó.

Esa decisión de no llevar a Joseth con ellos terminó por salvarle la vida, pues de haber ido en ese carro es posible que hubiera perdido la vida por una circunstancia muy particular.

“Resulta que a mi hija nunca le gustaba andar con cinturón; ella lloraba para que no le pusieran cinturón. Mi esposo me dijo que si ese día ella hubiera ido con nosotros, posiblemente habría muerto, porque capaz se habría salido por el parabrisas y pegado contra la vagoneta”.

Aprender a escuchar

Doña Elaynna explicó que desde que ella y su familia sobrevivieron a ese terrible accidente, aprendió a escuchar y a ver las señales que, según ella, vienen del cielo como una alerta.

“Desde ahí aprendí que uno tiene que prestarle atención al Espíritu Santo, porque él le habla a uno, pero a veces andamos como en otro mundo”, destacó.

Peraza también destacó que el hecho de viajar en un carro grande, tipo 4x4, fue fundamental para que el impacto contra la vagoneta no fuera mortal.

“El impacto fue muy fuerte, nosotros íbamos en un carro grande y creo que eso nos ayudó mucho, porque si hubiéramos ido en un automóvil nos hubiéramos matado contra la vagoneta, pero principalmente, Dios fue quien nos salvó”.

Hasta el día de hoy doña Elaynna sigue recordando ese accidente, sobre todo cuando es el cumpleaños de su hijo.

“Yo le digo a mi hijo que nació dos veces el mismo día”, finalizó."|es
latejacr|https://www.lateja.cr/sucesos/vecinos-vivieron-madrugada-de-terror-en-heredia/BVYRIYLJOBGX5I73JAM3LE6GDM/story/|Vecinos vivieron madrugada de terror en Heredia tras balacera contra joven de 19 años|2026-05-16 09:46:35|2026-05-16 13:26:09|Lo más leído|"Una madrugada muy violenta vivieron los vecinos de Llorente de Flores, en Heredia, luego de escuchar múltiples disparos cerca de las 3 a. m. de este sábado 16 de mayo.

La agresión dejó herido a un joven de apellido González, de 19 años, quien recibió impactos de bala en la pierna izquierda, el tobillo derecho y el brazo derecho.

De acuerdo con la información preliminar del Organismo de Investigación Judicial (OIJ), la víctima caminaba por la vía pública cuando fue atacada.

“Él iba caminando cuando, aparentemente, desde un vehículo le dispararon en varias ocasiones, quedando herido en el sitio”, detallaron en la oficina de prensa del OIJ.

Tras la balacera, el joven fue trasladado al hospital San Vicente de Paúl, en Heredia, donde recibió atención médica.

De momento, las autoridades judiciales no reportan personas detenidas por este caso y mantienen abierta la investigación para determinar el móvil del ataque y ubicar a los responsables."|es
latejacr|https://www.lateja.cr/sucesos/sicarios-esperaron-a-que-muchacho-saliera-de-casa/5TJTAAVGRBHYJCKQ5CE3YXMVXQ/story/|Sicarios esperaron a que muchacho saliera de casa y le provocaron una violenta muerte en Guácimo|2026-05-16 10:59:26|2026-05-16 13:26:09|Lo más leído|"Un joven identificado como Andrey Serrano Vega, de 23 años, fue asesinado a balazos la noche de este viernes 15 de mayo en Aralias de Guácimo.

De acuerdo con la información preliminar del Organismo de Investigación Judicial (OIJ), la víctima recibió impactos de bala en la cabeza, el abdomen, el hombro derecho, el antebrazo derecho y la mano izquierda.

El ataque ocurrió cerca de las 7 p. m., cuando Serrano viajaba a bordo de un carro sobre la vía pública.

“Él viajaba a bordo de un automóvil cuando fue interceptado por dos sujetos en una moto quienes le dispararon en múltiples ocasiones y se dieron a la fuga”, detallaron en la oficina de prensa del OIJ.

Según trascendió, el joven tenía pocos metros de haber salido de una vivienda cuando fue atacado. Tras recibir los disparos, perdió el control del vehículo y terminó chocando contra una cuneta.

Los vecinos aseguraron que primero escucharon una ráfaga de disparos y luego un fuerte impacto. Cuando salieron para ver qué había ocurrido encontraron la escena del violento ataque.

Aún con vida Serrano fue trasladado de emergencia al hospital de Guápiles, donde falleció aproximadamente una hora después de haber ingresado.

Los agentes judiciales realizaron el levantamiento de evidencias en el sitio, entre ellas varios casquillos, y posteriormente acudieron al hospital para el levantamiento del cuerpo.

La investigación continúa para dar con los responsables y esclarecer las causas de este homicidio."|es
latejacr|https://www.lateja.cr/deportes/uno-de-los-ticos-que-juega-en-la-mls-recibe-un/34DMX4Y3FVE2ZMTXVUISHATX2M/story/|Uno de los ticos que juega en la MLS recibe un salario cercano al millón de dólares|2026-05-15 20:33:32|2026-05-16 13:26:09|Lo más leído|"Uno de los costarricenses que juega para la MLS recibe al año un salario cercano al millón de dólares por temporada.

La Asociación de Futbolistas de la Liga Estadounidense (MLSPA) reveló la lista de salarios de todos los futbolistas que están inscritos en la liga norteamericana y quien encabeza el listado es el delantero Alonso Martínez, que gana un poco más de $850 mil al año.

Además del exmanudo, en la MLS juegan Ariel Lassiter (Portland Timbers), Warren Madrigal (Nashville SC), Andy Rojas (New York Red Bulls) y Kenyel Michel (Minnesota United).

Los salarios de los ticos

Estos son los salarios que reciben los legionarios:

- Alonso Martínez: $850.333 (¢385 millones, ¢32 millones al mes)

- Ariel Lassiter: $483.500 (¢219 millones, ¢18 millones al mes)

- Warren Madrigal: $403.500 (¢183 millones, ¢15 millones al mes)

- Andy Rojas: $213.131 (¢96 millones, ¢8 millones al mes)

- Kenyel Michel: $113.400 (¢51 millones, ¢4,5 millones al mes)"|es
latejacr|https://www.lateja.cr/sucesos/el-conmovedor-gesto-que-tuvo-el-hijo-del-policia/ZQZSN3N6NJAOLB2LHHHTNOVAWU/story/|El conmovedor gesto que tuvo el hijo del policía Gerson Rosales en el funeral de su papá|2026-05-15 17:04:54|2026-05-16 13:26:09|Lo más leído|"Un momento cargado de dolor marcó este viernes la despedida del oficial de Fuerza Pública, Gerson Rosales Cascante, de 28 años, quien fue asesinado mientras cumplía con su deber en Batán de Limón.

Durante la misa del funeral, realizada en la parroquia de San Antonio de Padua, en Bribri de Talamanca, el silencio y las lágrimas se apoderaron del templo cuando el pequeño, hijo del oficial, de apenas cuatro años, se acercó al féretro y con una flor roció el ataúd de su padre con agua bendita.

El niño estaba acompañado de su mamita y otros familiares. Mientras el sacerdote los reconfortaba con palabras de cariño.

La escena conmovió profundamente a familiares, amigos, compañeros de trabajo y vecinos que acudieron a darle el último adiós al joven policía, recordado como un hombre trabajador y entregado a su familia.

Antes de llegar a la iglesia, el cuerpo de Rosales fue escoltado en una emotiva, pero dolorosa caravana. Las sirenas de las patrullas que acompañaban la carroza fúnebre resonaron por las calles de Bribri, haciendo que vecinos salieran de sus casas para despedir al oficial con respeto y tristeza.

Muchos observaban en silencio, mientras otros aplaudían el paso del cortejo fúnebre como muestra de agradecimiento por su servicio.

Haciendo su trabajo

Gerson murió en el cumplimiento de su deber y fue despedido con todos los honores policiales. A su funeral acudieron no solo sus seres queridos, sino también compañeros de Fuerza Pública, quienes aseguraron que le tenían gran cariño y admiración.

El joven oficial tenía apenas tres semanas de haber sido trasladado a Batán, una plaza que había aceptado con ilusión, pues le permitiría recibir un mejor salario para brindar una mejor calidad de vida a su familia.

De acuerdo con las autoridades judiciales, la principal hipótesis del homicidio apunta a una represalia contra la labor policial que venían realizando los oficiales en Batán.

El director interino del OIJ, Michael Soto, señaló que el ataque estaría relacionado con recientes decomisos de droga que afectaron a una estructura criminal ligada a un sujeto conocido como alias “Tan”, identificado preliminarmente como Jonathan Pérez Méndez, también apodado “Perro”, quien figura como uno de los presuntos cabecillas del narcomenudeo y control territorial en esa zona de Matina.

Según la investigación, el crimen habría sido una respuesta violenta al golpe policial contra esa organización criminal"|es
latejacr|https://www.lateja.cr/farandula/gabriela-jimenez-rindio-homenaje-al-suegro-de/U7Q356BQBZHOJM2D7F5A343DFQ/story/|Gabriela Jiménez rindió homenaje al “suegro de muchos” en este Día del Agricultor|2026-05-15 15:06:21|2026-05-16 13:26:09|Lo más leído|"Este 15 de mayo, en el marco del Día del Agricultor Costarricense, la periodista Gabriela Jiménez decidió rendirle un emotivo homenaje al hombre que más la inspiró en uno de sus proyectos más recientes: su papá.

La comunicadora compartió un video en redes sociales donde muestra a su padre trabajando en el cafetal, dejando claro que él es el verdadero protagonista detrás de su nueva marca de café, Café Maíta, lanzada hace apenas unos días.

Con imágenes llenas de naturaleza, esfuerzo y tradición, Gaby quiso reconocer el sacrificio silencioso que realizan miles de agricultores en el país, especialmente quienes dedican su vida al cultivo del café.

“Este es el verdadero protagonista. Detrás de cada taza de café hay manos que madrugan, sin cámaras, sin aplausos”, escribió la periodista junto al video.

Además, destacó todo el esfuerzo y paciencia que requiere sacar adelante un cafetal como el que tiene su papá en la zona de San Ramón, de Alajuela.

“Muchas horas en solitario, cuidando cada planta como si fuera un hijo, esperando con ansias por meses hasta ver el cafetal florecer y sus granos”, agregó.

La presentadora de 7 Estrellas también recordó que, aunque una taza de café se disfruta en pocos minutos, detrás existe un proceso de años lleno de trabajo y dedicación.

“Una taza de café se toma en minutos, pero todo empieza aquí, en un cafetal. Una planta tarda años en dar su primer fruto, pero después nos regala momentos inolvidables”, expresó.

La periodista cerró el mensaje con una frase dedicada a su emprendimiento familiar: “Café Maíta, tradición que te honra”."|es
latejacr|https://www.lateja.cr/farandula/vivian-campos-se-muestra-con-su-galan-a-miles-de/MTR5DLNZLJGPJJAYUOE6OPTIBQ/story/|Vivian Campos se muestra con su galán a miles de kilómetros de Costa Rica|2026-05-15 15:56:34|2026-05-16 13:26:09|Lo más leído|"La doctora y expresentadora de Teletica, Vivian Campos, dejó ver en las últimas horas el gran momento personal que vive junto a su pareja, Ernesto Trigueros.

La exfigura de Sábado Feliz disfruta actualmente de unas vacaciones por Japón y aprovechó la distancia con Costa Rica para compartir una imagen muy romántica junto a su galán.

La romántica foto desde Osaka

Por medio de sus historias de Instagram, Vivian publicó una fotografía en la que aparece junto a Trigueros frente al famoso Castillo de Osaka.

La histórica fortaleza es uno de los sitios más emblemáticos de Japón y actualmente funciona como museo y símbolo turístico de la ciudad de Osaka.

En la imagen, ambos se ven sonrientes y muy enamorados mientras disfrutan de la experiencia por el continente asiático.

Vivian mantiene su relación muy privada

Aunque Campos suele ser bastante reservada con su vida sentimental, esta vez decidió hacer una excepción y compartir un vistazo de su relación.

La doctora ya había contado meses atrás que tiene más de cinco años de haber dejado la soltería, aunque evitaba hablar públicamente sobre el tema.

“No soy mucho de poner cosas en redes sociales porque a veces uno, por estar hablando y poniendo tanto en redes sociales, la gente se mete en lo que no le importa. Igual, yo ando siempre en lo mío. Siempre trato de mantener mis cosas para mí, mi familia, mis amigos y listo”, afirmó en noviembre pasado.

Un viaje lleno de amor y aventura

La escapada por Japón parece estar siendo una experiencia muy especial para la pareja, que ha recorrido algunos de los lugares más icónicos del país asiático.

Aunque Vivian comparte poco sobre su vida amorosa, esta vez dejó claro lo feliz y enamorada que se encuentra."|es
latejacr|https://www.lateja.cr/farandula/nuevo-novio-de-kiki-berry-es-un-conocido-cantante/QKMBXRVUPVE5TFEQVKYI5ZV3FY/story/|Nuevo novio de Kiki Berry es un conocido cantante nacional de música urbana, vea quién es|2026-05-14 12:07:25|2026-05-16 13:26:09|Lo más leído|"Kianny Berry Peraza, hija de la reconocida presentadora Glenda Peraza y del exjugador Austin Berry, dejó atrás el misterio y finalmente mostró públicamente quién es el hombre que le robó el corazón.

La joven, conocida cariñosamente como Kiki, sorprendió al compartir en su cuenta de TikTok un video junto a su nueva pareja, luego de varias semanas insinuando que nuevamente estaba enamorada.

Aunque hasta ahora había mantenido en privado la identidad de su novio, ya sabemos de quién se trata.

El nuevo galán de Kiki es el cantante nacional Xeuz, artista que poco a poco se ha abierto espacio dentro de la escena urbana costarricense. El joven rapero, cuyo nombre real es Justin Torres Benavides, es vecino de Coronado y tiene 24 años.

Xeuz destaca por grabar temas como “Sangre”, “Vegeta” y “Bratz”, además tiene colaboraciones con otros artistas como Kavvo, Toledo, Deeikel y Gimario, nombres cada vez más fuertes dentro del género urbano en Costa Rica.

La relación salió oficialmente a la luz por medio de un video que ella acompartió donde aparecen abriendo sobres de postales del álbum oficial de la Copa Mundial de la FIFA 2026 mientras comparten bromas y risas.

“La que más odia el fútbol se enamoró de un ‘Fifas’ y ahora están llenando el álbum del mundial juntos”, escribió Kiki en la publicación, dejando ver lo feliz que se encuentra en esta nueva etapa sentimental.

Desde hace algunas semanas, la hija de Glenda Peraza ya había contado a sus seguidores que estaba nuevamente enamorada, aunque sin revelar mayores detalles.

“No estoy sola, soltera. Yo sé que me lo he tenido muy calladito, bien privado, pero ¿qué les puedo decir amiga? Estoy demasiado feliz y estoy disfrutando demasiado esta nueva historia”, expresó en abril por medio de su Instagram."|es
